"","source","source_division","citation","token_id","sentence_id","verb","lemma_id","lemma","gr","gr_token_id","gr_sentence_id","gr_lemma","gr_tensemood"
"3854","Marianus","Matthew 11","MATT 11.15",568132,38674,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",273318,15090,"ἀκούω","present_active_imperative"
"3856","Marianus","Matthew 13","MATT 13.9",569508,38781,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",274816,15199,"ἀκούω","present_active_imperative"
"3858","Marianus","Matthew 13","MATT 13.13",569578,38788,"слꙑшѧтъ",58797,"слꙑшати","ἀκούουσιν",274888,15206,"ἀκούω","present"
"3860","Marianus","Matthew 13","MATT 13.16",569651,38792,"слꙑшите",58797,"слꙑшати","ἀκούουσιν",274968,15210,"ἀκούω","present"
"3862","Marianus","Matthew 13","MATT 13.17",569675,38793,"слꙑшите",58797,"слꙑшати","ἀκούετε",274989,15211,"ἀκούω","present"
"3864","Marianus","Matthew 13","MATT 13.19",569688,50828,"слꙑшитъ",58797,"слꙑшати","ἀκούοντος",275003,15213,"ἀκούω","present_active_participle"
"3868","Marianus","Matthew 13","MATT 13.43",570211,38837,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",275586,15254,"ἀκούω","present_active_imperative"
"3877","Marianus","Matthew 21","MATT 21.16",575271,39265,"слꙑшиши",58797,"слꙑшати","ἀκούεις",280707,15682,"ἀκούω","present"
"3883","Marianus","Matthew 27","MATT 27.13",580719,39735,"слꙑшиши",58797,"слꙑшати","ἀκούεις",286342,16158,"ἀκούω","present"
"3899","Marianus","Luke 7","LUKE 7.22",588958,40327,"слꙑшѧтъ",58797,"слꙑшати","ἀκούουσιν",326282,20554,"ἀκούω","present"
"3902","Marianus","Luke 8","LUKE 8.8",589670,40390,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",327030,20620,"ἀκούω","present_active_imperative"
"3907","Marianus","Luke 8","LUKE 8.18",589878,40402,"слꙑшите",58797,"слꙑшати","ἀκούετε",327242,20632,"ἀκούω","present"
"3911","Marianus","Luke 9","LUKE 9.9",590918,40479,"слꙑшѫ",58797,"слꙑшати","ἀκούω",328270,20714,"ἀκούω","present"
"3919","Marianus","Luke 14","LUKE 14.35",596640,40915,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",334164,21169,"ἀκούω","present_active_imperative"
"3921","Marianus","Luke 16","LUKE 16.2",597308,40965,"слъшѫ",58797,"слꙑшати","ἀκούω",334837,21217,"ἀκούω","present"
"3939","Marianus","John 5","JOHN 5.30",608378,51854,"слꙑшѫ",58797,"слꙑшати","ἀκούω",346299,48645,"ἀκούω","present"
"3945","Marianus","John 7","JOHN 7.51",610898,42105,"слꙑшитъ",58797,"слꙑшати","ἀκούσῃ",348975,22408,"ἀκούω","aorist_subjunctive"
"3954","Marianus","John 10","JOHN 10.3",612977,42322,"слꙑшѧтъ",58797,"слꙑшати","ἀκούει",351362,22651,"ἀκούω","present"
"3960","Marianus","John 14","JOHN 14.24",616900,42653,"слꙑшите",58797,"слꙑшати","ἀκούετε",355528,22993,"ἀκούω","present"
"3970","Marianus","John 3","JOHN 3.8",852057,41717,"слꙑшиши",58797,"слꙑшати","ἀκούεις",344071,22012,"ἀκούω","present"
"3982","Marianus","Matthew 5","MATT 5.28",564029,38380,"вьзьритъ",58798,"възьрѣти","βλέπων",269092,14794,"βλέπω","present_active_participle"
"3994","Marianus","John 19","JOHN 19.37",620176,42920,"вьзьрѧтъ",58798,"възьрѣти","ὄψονται",359257,23303,"ὁράω","future"
"4012","Marianus","Mark 6","MARK 6.22",542513,50341,"дамъ",58843,"дати","δώσω",105842,6796,"δίδωμι","future"
"4013","Marianus","Mark 6","MARK 6.23",542525,50343,"дамь",58843,"дати","δώσω",105853,57369,"δίδωμι","future"
"4014","Marianus","Mark 6","MARK 6.25",542563,50347,"даси",58843,"дати","δῷς",105895,6803,"δίδωμι","aorist_subjunctive"
"4018","Marianus","Mark 6","MARK 6.37",542816,36669,"дамь",58843,"дати","δώσομεν",106143,6820,"δίδωμι","future"
"4019","Marianus","Mark 8","MARK 8.12",544058,50387,"дастъ",58843,"дати","δοθήσεται",107394,6918,"δίδωμι","future"
"4020","Marianus","Mark 8","MARK 8.37",544534,36805,"дастъ",58843,"дати","δοῖ",107874,6963,"δίδωμι","aorist_subjunctive"
"4027","Marianus","Mark 12","MARK 12.9",547411,37036,"дастъ",58843,"дати","δώσει",110764,7204,"δίδωμι","future"
"4029","Marianus","Mark 12","MARK 12.14",547524,37048,"дамь",58843,"дати","δῶμεν",110878,7216,"δίδωμι","aorist_subjunctive"
"4030","Marianus","Mark 12","MARK 12.14",547528,37048,"дамь",58843,"дати","δῶμεν",110881,7216,"δίδωμι","aorist_subjunctive"
"4031","Marianus","Mark 13","MARK 13.11",548377,37123,"дастъ",58843,"дати","δοθῇ",111735,7292,"δίδωμι","aorist_subjunctive"
"4032","Marianus","Mark 13","MARK 13.22",548587,37136,"дадѧтъ",58843,"дати","ποιήσουσιν",111948,7305,"ποιέω","future"
"4033","Marianus","Mark 13","MARK 13.24",548623,37138,"дастъ",58843,"дати","δώσει",111987,7308,"δίδωμι","future"
"4041","Marianus","Matthew 5","MATT 5.31",564124,59987,"дастъ",58843,"дати","δότω",269186,47691,"δίδωμι","aorist_active_imperative"
"4045","Marianus","Matthew 7","MATT 7.7",565292,38465,"дастъ",58843,"дати","δοθήσεται",270364,14879,"δίδωμι","future"
"4049","Marianus","Matthew 10","MATT 10.19",567452,50785,"дастъ",58843,"дати","δοθήσεται",272603,15039,"δίδωμι","future"
"4061","Marianus","Matthew 16","MATT 16.4",571851,50878,"дастъ",58843,"дати","δοθήσεται",277304,47882,"δίδωμι","future"
"4062","Marianus","Matthew 16","MATT 16.19",572109,39015,"дамь",58843,"дати","δώσω",277574,15430,"δίδωμι","future"
"4069","Marianus","Matthew 20","MATT 20.4",574386,39190,"дамъ",58843,"дати","δώσω",279835,15606,"δίδωμι","future"
"4075","Marianus","Matthew 21","MATT 21.43",575899,39332,"дастъ",58843,"дати","δοθήσεται",281344,15751,"δίδωμι","future"
"4077","Marianus","Matthew 24","MATT 24.24",577774,39480,"дадѧтъ",58843,"дати","δώσουσιν",283291,15901,"δίδωμι","future"
"4078","Marianus","Matthew 24","MATT 24.29",577857,39487,"дастъ",58843,"дати","δώσει",283380,15908,"δίδωμι","future"
"4079","Marianus","Matthew 24","MATT 24.45",578202,51090,"дастъ",58843,"дати","δοῦναι",283724,15924,"δίδωμι","aorist_active_infinitive"
"4093","Marianus","Luke 1","LUKE 1.32",583486,39955,"дастъ",58843,"дати","δώσει",320643,20183,"δίδωμι","future"
"4096","Marianus","Luke 4","LUKE 4.6",585876,40102,"дамъ",58843,"дати","δώσω",323098,20323,"δίδωμι","future"
"4099","Marianus","Luke 6","LUKE 6.38",588206,51320,"дастъ",58843,"дати","δοθήσεται",325504,20498,"δίδωμι","future"
"4100","Marianus","Luke 6","LUKE 6.38",588219,51321,"дадѧтъ",58843,"дати","δώσουσιν",325512,20499,"δίδωμι","future"
"4101","Marianus","Luke 7","LUKE 7.4",588570,51323,"даси",58843,"дати","παρέξῃ",325881,20523,"παρέχω","aorist_subjunctive"
"4106","Marianus","Luke 8","LUKE 8.18",589883,40403,"дастъ",58843,"дати","δοθήσεται",327249,20633,"δίδωμι","future"
"4114","Marianus","Luke 11","LUKE 11.8",593112,51456,"дастъ",58843,"дати","δώσει",330520,48436,"δίδωμι","future"
"4115","Marianus","Luke 11","LUKE 11.8",593125,51456,"дастъ",58843,"дати","δώσει",330535,48436,"δίδωμι","future"
"4116","Marianus","Luke 11","LUKE 11.9",593137,51458,"дастъ",58843,"дати","δοθήσεται",330548,48438,"δίδωμι","future"
"4117","Marianus","Luke 11","LUKE 11.13",593217,40661,"дастъ",58843,"дати","δώσει",330635,20907,"δίδωμι","future"
"4118","Marianus","Luke 11","LUKE 11.29",593521,40687,"дастъ",58843,"дати","δοθήσεται",330960,20934,"δίδωμι","future"
"4130","Marianus","Luke 16","LUKE 16.12",597532,40987,"дастъ",58843,"дати","δώσει",335072,21241,"δίδωμι","future"
"4132","Marianus","Luke 19","LUKE 19.8",599514,41151,"дамъ",58843,"дати","δίδωμι",337087,21417,"δίδωμι","present"
"4136","Marianus","Luke 19","LUKE 19.26",599848,41181,"дадѧтъ",58843,"дати","δοθήσεται",337430,48552,"δίδωμι","future"
"4138","Marianus","Luke 20","LUKE 20.10",600415,41228,"дадѧтъ",58843,"дати","δώσουσιν",338017,21497,"δίδωμι","future"
"4140","Marianus","Luke 21","LUKE 21.15",601324,41311,"дамъ",58843,"дати","δώσω",338907,21580,"δίδωμι","future"
"4146","Marianus","John 3","JOHN 3.34",606707,41754,"дастъ",58843,"дати","δίδωσιν",344606,22049,"δίδωμι","present"
"4153","Marianus","John 4","JOHN 4.14",606984,41778,"дамь",58843,"дати","δώσω",344903,22072,"δίδωμι","future"
"4154","Marianus","John 4","JOHN 4.14",606997,41778,"дамь",58843,"дати","δώσω",344918,22072,"δίδωμι","future"
"4160","Marianus","John 6","JOHN 6.27",609201,41950,"дастъ",58843,"дати","δίδωσιν",347142,22246,"δίδωμι","present"
"4163","Marianus","John 6","JOHN 6.32",609296,51871,"дастъ",58843,"дати","δίδωσιν",347254,48658,"δίδωμι","present"
"4165","Marianus","John 6","JOHN 6.37",609369,41966,"дастъ",58843,"дати","δίδωσίν",347338,22266,"δίδωμι","present"
"4167","Marianus","John 6","JOHN 6.51",609633,51886,"дамь",58843,"дати","δώσω",347643,22286,"δίδωμι","future"
"4168","Marianus","John 6","JOHN 6.51",609640,51886,"дамь",58843,"дати","δώσω",347643,22286,"δίδωμι","future"
"4175","Marianus","John 11","JOHN 11.22",614060,42416,"дастъ",58843,"дати","δώσει",352504,22745,"δίδωμι","future"
"4182","Marianus","John 13","JOHN 13.29",616228,42592,"дастъ",58843,"дати","δῷ",354820,22928,"δίδωμι","aorist_subjunctive"
"4183","Marianus","John 14","JOHN 14.16",616707,42640,"дастъ",58843,"дати","δώσει",355329,22980,"δίδωμι","future"
"4184","Marianus","John 15","JOHN 15.16",617396,42686,"дастъ",58843,"дати","δῷ",356039,23025,"δίδωμι","aorist_subjunctive"
"4185","Marianus","John 16","JOHN 16.23",618093,42740,"дастъ",58843,"дати","δώσει",356731,48746,"δίδωμι","future"
"4188","Marianus","John 17","JOHN 17.2",618345,42762,"дастъ",58843,"дати","δώσῃ",356983,23104,"δίδωμι","aorist_subjunctive"
"4207","Marianus","Matthew 7","MATT 7.11",817668,38471,"дастъ",58843,"дати","δώσει",270443,14885,"δίδωμι","future"
"4643","Marianus","Luke 4","LUKE 4.7",585899,40103,"поклониши",58892,"поклонити","προσκυνήσῃς",323121,20324,"προσκυνέω","aorist_subjunctive"
"4644","Marianus","Luke 4","LUKE 4.8",585925,40106,"поклониши",58892,"поклонити","προσκυνήσεις",323138,20327,"προσκυνέω","future"
"4648","Marianus","John 4","JOHN 4.21",607135,41794,"поклоните",58892,"поклонити","προσκυνήσετε",345061,22088,"προσκυνέω","future"
"4649","Marianus","John 4","JOHN 4.23",607172,41796,"поклонѧтъ",58892,"поклонити","προσκυνήσουσιν",345095,22090,"προσκυνέω","future"
"4653","Marianus","John 12","JOHN 12.20",615097,42496,"поклонѧтъ",58892,"поклонити","προσκυνήσωσιν",353599,22829,"προσκυνέω","aorist_subjunctive"
"4692","Marianus","Mark 2","MARK 2.20",539718,36453,"придѫтъ",58916,"прити","ἐλεύσονται",102957,6596,"ἔρχομαι","future"
"4697","Marianus","Mark 4","MARK 4.15",540767,36525,"придетъ",58916,"прити","ἔρχεται",104044,6672,"ἔρχομαι","present"
"4698","Marianus","Mark 4","MARK 4.22",540924,36533,"придетъ",58916,"прити","ἔλθῃ",104209,6680,"ἔρχομαι","aorist_subjunctive"
"4719","Marianus","Mark 8","MARK 8.38",544566,36806,"придетъ",58916,"прити","ἔλθῃ",107908,6964,"ἔρχομαι","aorist_subjunctive"
"4739","Marianus","Mark 12","MARK 12.9",547405,50499,"придетъ",58916,"прити","ἐλεύσεται",110757,7204,"ἔρχομαι","future"
"4743","Marianus","Mark 13","MARK 13.6",548250,37115,"придѫтъ",58916,"прити","ἐλεύσονται",111628,7284,"ἔρχομαι","future"
"4754","Marianus","Mark 15","MARK 15.36",550777,50586,"придетъ",58916,"прити","ἔρχεται",114149,47391,"ἔρχομαι","present"
"4759","Marianus","Matthew 6","MATT 6.10",564665,50685,"придетъ",58916,"прити","ἐλθάτω",269729,47710,"ἔρχομαι","aorist_active_imperative"
"4763","Marianus","Matthew 8","MATT 8.11",565939,38507,"придѫтъ",58916,"прити","ἥξουσιν",271036,14919,"ἥκω","future"
"4771","Marianus","Matthew 9","MATT 9.15",566670,38561,"придѫтъ",58916,"прити","ἐλεύσονται",271805,14974,"ἔρχομαι","future"
"4775","Marianus","Matthew 10","MATT 10.13",567319,38616,"придетъ",58916,"прити","ἐλθάτω",272467,15029,"ἔρχομαι","aorist_active_imperative"
"4776","Marianus","Matthew 10","MATT 10.23",567540,38632,"придетъ",58916,"прити","ἔλθῃ",272694,47820,"ἔρχομαι","aorist_subjunctive"
"4803","Marianus","Matthew 17","MATT 17.11",572566,39050,"придетъ",58916,"прити","ἔρχεται",278049,15465,"ἔρχομαι","present"
"4821","Marianus","Matthew 21","MATT 21.40",575819,39325,"придетъ",58916,"прити","ἔλθῃ",281260,15744,"ἔρχομαι","aorist_subjunctive"
"4824","Marianus","Matthew 23","MATT 23.35",577286,39447,"придетъ",58916,"прити","ἔλθῃ",282788,15866,"ἔρχομαι","aorist_subjunctive"
"4825","Marianus","Matthew 24","MATT 24.5",577477,39459,"придѫтъ",58916,"прити","ἐλεύσονται",282995,15880,"ἔρχομαι","future"
"4826","Marianus","Matthew 24","MATT 24.14",577624,39471,"придетъ",58916,"прити","ἥξει",283136,15892,"ἥκω","future"
"4828","Marianus","Matthew 24","MATT 24.42",578135,51088,"придетъ",58916,"прити","ἔρχεται",283660,15921,"ἔρχομαι","present"
"4829","Marianus","Matthew 24","MATT 24.43",578152,39501,"придетъ",58916,"прити","ἔρχεται",283675,15922,"ἔρχομαι","present"
"4830","Marianus","Matthew 24","MATT 24.44",578182,39502,"придетъ",58916,"прити","ἔρχεται",283704,15923,"ἔρχομαι","present"
"4846","Marianus","Matthew 27","MATT 27.49",581328,51199,"придетъ",58916,"прити","ἔρχεται",286954,48057,"ἔρχομαι","present"
"4853","Marianus","Luke 1","LUKE 1.43",583682,39970,"придетъ",58916,"прити","ἔλθῃ",320853,20198,"ἔρχομαι","aorist_subjunctive"
"4868","Marianus","Luke 5","LUKE 5.35",587372,51303,"придѫтъ",58916,"прити","ἐλεύσονται",324634,20437,"ἔρχομαι","future"
"4874","Marianus","Luke 7","LUKE 7.8",588663,40305,"придетъ",58916,"прити","ἔρχεται",760342,57024,"ἔρχομαι","present"
"4878","Marianus","Luke 8","LUKE 8.12",589731,51357,"придетъ",58916,"прити","ἔρχεται",327097,48398,"ἔρχομαι","present"
"4879","Marianus","Luke 8","LUKE 8.17",589872,40401,"придетъ",58916,"прити","ἔλθῃ",327237,20631,"ἔρχομαι","aorist_subjunctive"
"4886","Marianus","Luke 9","LUKE 9.26",591292,40508,"придетъ",58916,"прити","ἔλθῃ",328655,20746,"ἔρχομαι","aorist_subjunctive"
"4889","Marianus","Luke 11","LUKE 11.2",592979,51446,"придетъ",58916,"прити","ἐλθάτω",330401,20888,"ἔρχομαι","aorist_active_imperative"
"4895","Marianus","Luke 12","LUKE 12.38",594754,40780,"придетъ",58916,"прити","ἔλθῃ",332248,21030,"ἔρχομαι","aorist_subjunctive"
"4896","Marianus","Luke 12","LUKE 12.39",594779,40781,"придетъ",58916,"прити","ἔρχεται",332269,21031,"ἔρχομαι","present"
"4897","Marianus","Luke 12","LUKE 12.40",594805,40782,"придетъ",58916,"прити","ἔρχεται",332293,21032,"ἔρχομαι","present"
"4900","Marianus","Luke 12","LUKE 12.46",594906,40789,"придеть",58916,"прити","ἥξει",784342,21039,"ἥκω","future"
"4903","Marianus","Luke 13","LUKE 13.29",595778,40852,"придѫтъ",58916,"прити","ἥξουσιν",333311,21104,"ἥκω","future"
"4904","Marianus","Luke 13","LUKE 13.35",595923,40862,"придетъ",58916,"прити","ἥξει",333457,21114,"ἥκω","future"
"4906","Marianus","Luke 14","LUKE 14.10",596099,51514,"придетъ",58916,"прити","ἔλθῃ",333636,21128,"ἔρχομαι","aorist_subjunctive"
"4913","Marianus","Luke 16","LUKE 16.28",597885,51557,"придѫтъ",58916,"прити","ἔλθωσιν",789432,21266,"ἔρχομαι","aorist_subjunctive"
"4914","Marianus","Luke 17","LUKE 17.1",597961,41021,"придѫтъ",58916,"прити","ἔρχεται",335512,21276,"ἔρχομαι","present"
"4916","Marianus","Luke 17","LUKE 17.20",598305,41051,"придетъ",58916,"прити","ἔρχεται",335841,21308,"ἔρχομαι","present"
"4917","Marianus","Luke 17","LUKE 17.20",598315,41052,"придетъ",58916,"прити","ἔρχεται",335853,48513,"ἔρχομαι","present"
"4918","Marianus","Luke 17","LUKE 17.22",598342,41056,"придѫтъ",58916,"прити","ἐλεύσονται",789544,21313,"ἔρχομαι","future"
"4928","Marianus","Luke 19","LUKE 19.43",600127,41203,"придѫтъ",58916,"прити","ἥξουσιν",337722,21473,"ἥκω","future"
"4929","Marianus","Luke 20","LUKE 20.16",600509,41242,"придетъ",58916,"прити","ἐλεύσεται",338118,21512,"ἔρχομαι","future"
"4930","Marianus","Luke 21","LUKE 21.6",601137,51671,"придѫтъ",58916,"прити","ἐλεύσονται",790463,48568,"ἔρχομαι","future"
"4931","Marianus","Luke 21","LUKE 21.35",601658,58759,"придетъ",58916,"прити","ἐπεισελεύσεται",339251,21598,"ἐπέρχομαι","future"
"4936","Marianus","Luke 23","LUKE 23.42",603687,51742,"придеши",58916,"прити","ἔλθῃς",341315,21792,"ἔρχομαι","aorist_subjunctive"
"4954","Marianus","John 4","JOHN 4.25",607211,41800,"придетъ",58916,"прити","ἔρχεται",345135,22094,"ἔρχομαι","present"
"4955","Marianus","John 4","JOHN 4.25",607217,41801,"придетъ",58916,"прити","ἔλθῃ",345142,22095,"ἔρχομαι","aorist_subjunctive"
"4958","Marianus","John 4","JOHN 4.35",607368,41818,"придетъ",58916,"прити","ἔρχεται",345303,22112,"ἔρχομαι","present"
"4964","Marianus","John 5","JOHN 5.24",608271,41886,"придетъ",58916,"прити","ἔρχεται",346186,22184,"ἔρχομαι","present"
"4967","Marianus","John 5","JOHN 5.43",608602,41907,"придетъ",58916,"прити","ἔλθῃ",346544,22204,"ἔρχομαι","aorist_subjunctive"
"4973","Marianus","John 6","JOHN 6.37",609374,41966,"придетъ",58916,"прити","ἥξει",347344,22266,"ἥκω","future"
"4975","Marianus","John 6","JOHN 6.45",609547,41978,"придетъ",58916,"прити","ἔρχεται",347539,22278,"ἔρχομαι","present"
"4980","Marianus","John 7","JOHN 7.31",610571,51905,"придетъ",58916,"прити","ἔλθῃ",348618,22376,"ἔρχομαι","aorist_subjunctive"
"4983","Marianus","John 7","JOHN 7.37",610699,42086,"придетъ",58916,"прити","ἐρχέσθω",348755,22387,"ἔρχομαι","present_middle_imperative"
"4984","Marianus","John 7","JOHN 7.41",610773,51911,"придетъ",58916,"прити","ἔρχεται",348836,22396,"ἔρχομαι","present"
"4985","Marianus","John 7","JOHN 7.42",610784,42094,"придетъ",58916,"прити","ἔρχεται",348858,22397,"ἔρχομαι","present"
"4990","Marianus","John 8","JOHN 8.22",611371,42158,"идѫ",58916,"прити","ὑπάγω",349675,22478,"ὑπάγω","present"
"4994","Marianus","John 9","JOHN 9.4",612212,42244,"придетъ",58916,"прити","ἔρχεται",350555,22565,"ἔρχομαι","present"
"5007","Marianus","John 11","JOHN 11.48",614536,42464,"придѫтъ",58916,"прити","ἐλεύσονται",353011,22796,"ἔρχομαι","future"
"5021","Marianus","John 14","JOHN 14.3",616459,42616,"придѫ",58916,"прити","ἔρχομαι",355058,22954,"ἔρχομαι","present"
"5022","Marianus","John 14","JOHN 14.6",616512,42622,"придетъ",58916,"прити","ἔρχεται",355114,22960,"ἔρχομαι","present"
"5023","Marianus","John 14","JOHN 14.18",616753,52081,"придѫ",58916,"прити","ἔρχομαι",355378,48732,"ἔρχομαι","present"
"5024","Marianus","John 14","JOHN 14.28",616977,42660,"придѫ",58916,"прити","ἔρχομαι",355609,23000,"ἔρχομαι","present"
"5026","Marianus","John 15","JOHN 15.26",617571,42702,"придетъ",58916,"прити","ἔλθῃ",356227,23041,"ἔρχομαι","aorist_subjunctive"
"5027","Marianus","John 16","JOHN 16.2",617620,52093,"придетъ",58916,"прити","ἔρχεται",356277,23045,"ἔρχομαι","present"
"5028","Marianus","John 16","JOHN 16.4",617654,42708,"придетъ",58916,"прити","ἔλθῃ",356307,23047,"ἔρχομαι","aorist_subjunctive"
"5029","Marianus","John 16","JOHN 16.7",617726,42713,"придетъ",58916,"прити","ἐλεύσεται",356382,23053,"ἔρχομαι","future"
"5031","Marianus","John 16","JOHN 16.13",617804,42720,"придетъ",58916,"прити","ἔλθῃ",356460,23060,"ἔρχομαι","aorist_subjunctive"
"5033","Marianus","John 16","JOHN 16.25",618122,42744,"придетъ",58916,"прити","ἔρχεται",356765,23086,"ἔρχομαι","present"
"5056","Marianus","Mark 13","MARK 13.35",734780,37150,"придетъ",58916,"прити","ἔρχεται",112193,7321,"ἔρχομαι","present"
"5059","Marianus","Matthew 8","MATT 8.9",762177,57039,"придетъ",58916,"прити","ἔρχεται",270992,62760,"ἔρχομαι","present"
"5060","Marianus","Matthew 24","MATT 24.50",784513,39506,"придетъ",58916,"прити","ἥξει",784628,15927,"ἥκω","future"
"5061","Marianus","Luke 21","LUKE 21.8",788652,41300,"придѫтъ",58916,"прити","ἐλεύσονται",338784,21570,"ἔρχομαι","future"
"5064","Marianus","Luke 17","LUKE 17.1",795764,51561,"придѫтъ",58916,"прити","ἐλθεῖν",335506,21276,"ἔρχομαι","aorist_active_infinitive"
"5065","Marianus","Luke 22","LUKE 22.18",800212,51686,"придетъ",58916,"прити","ἔλθῃ",339595,21627,"ἔρχομαι","aorist_subjunctive"
"5067","Marianus","John 7","JOHN 7.27",851584,42068,"придетъ",58916,"прити","ἔρχηται",348526,22369,"ἔρχομαι","present_subjunctive"
"5068","Marianus","Matthew 23","MATT 23.36",851665,51059,"придѫтъ",58916,"прити","ἥξει",282824,47942,"ἥκω","future"
"5069","Marianus","Matthew 25","MATT 25.31",851839,39557,"придетъ",58916,"прити","ἔλθῃ",284375,15978,"ἔρχομαι","aorist_subjunctive"
"5070","Marianus","John 3","JOHN 3.8",852062,41717,"придетъ",58916,"прити","ἔρχεται",344077,22012,"ἔρχομαι","present"
"5084","Marianus","Mark 4","MARK 4.12",540708,36520,"видѧтъ",58918,"видѣти","βλέπωσιν",103987,6668,"βλέπω","present_subjunctive"
"5089","Marianus","Mark 5","MARK 5.31",541812,50313,"видиши",58918,"видѣти","βλέπεις",105129,6746,"βλέπω","present"
"5099","Marianus","Mark 8","MARK 8.18",544151,36774,"видите",58918,"видѣти","βλέπετε",107482,6928,"βλέπω","present"
"5100","Marianus","Mark 8","MARK 8.23",544254,36781,"видитъ",58918,"видѣти","βλέπει",107587,6938,"βλέπω","present"
"5101","Marianus","Mark 8","MARK 8.24",544264,50400,"виждѫ",58918,"видѣти","ὁρῶ",107600,6940,"ὁράω","present"
"5102","Marianus","Mark 9","MARK 9.1",544594,36807,"видѧтъ",58918,"видѣти","ἴδωσιν",107941,6966,"ὁράω","aorist_subjunctive"
"5114","Marianus","Mark 12","MARK 12.15",547546,37051,"виждѫ",58918,"видѣти","ἴδω",110900,7219,"ὁράω","aorist_subjunctive"
"5119","Marianus","Mark 13","MARK 13.2",548173,37107,"видиши",58918,"видѣти","βλέπεις",111554,7276,"βλέπω","present"
"5123","Marianus","Mark 15","MARK 15.36",550774,50586,"видимъ",58918,"видѣти","ἴδωμεν",114147,47391,"ὁράω","aorist_subjunctive"
"5127","Marianus","Mark 16","MARK 16.7",551097,50593,"видите",58918,"видѣти","ὄψεσθε",114488,7531,"ὁράω","future"
"5134","Marianus","Matthew 7","MATT 7.3",565207,38462,"видиши",58918,"видѣти","βλέπεις",270263,47722,"βλέπω","present"
"5151","Marianus","Matthew 13","MATT 13.13",569574,38788,"видѧтъ",58918,"видѣти","βλέπουσιν",274884,15206,"βλέπω","present"
"5153","Marianus","Matthew 13","MATT 13.16",569645,38792,"видите",58918,"видѣти","βλέπουσιν",274961,15210,"βλέπω","present"
"5155","Marianus","Matthew 13","MATT 13.17",569667,38793,"видите",58918,"видѣти","βλέπετε",274981,15211,"βλέπω","present"
"5164","Marianus","Matthew 18","MATT 18.10",573155,50910,"видѧтъ",58918,"видѣти","βλέπουσιν",278648,15513,"βλέπω","present"
"5174","Marianus","Matthew 24","MATT 24.2",577408,39453,"видите",58918,"видѣти","βλέπετε",282925,15874,"βλέπω","present"
"5175","Marianus","Matthew 24","MATT 24.6",577499,62936,"видите",58918,"видѣти","ὁρᾶτε",283019,47951,"ὁράω","present_active_imperative"
"5183","Marianus","Matthew 27","MATT 27.49",581325,51199,"видимъ",58918,"видѣти","ἴδωμεν",286952,48057,"ὁράω","aorist_subjunctive"
"5187","Marianus","Matthew 28","MATT 28.10",581843,51216,"видѧтъ",58918,"видѣти","ὄψονται",287474,48067,"ὁράω","future"
"5195","Marianus","Luke 2","LUKE 2.26",584670,40029,"видитъ",58918,"видѣти","ἴδῃ",321878,20252,"ὁράω","aorist_subjunctive"
"5201","Marianus","Luke 6","LUKE 6.41",588269,40279,"видиши",58918,"видѣти","βλέπεις",325561,48366,"βλέπω","present"
"5209","Marianus","Luke 7","LUKE 7.44",589386,40368,"видиши",58918,"видѣти","βλέπεις",326729,20597,"βλέπω","present"
"5211","Marianus","Luke 8","LUKE 8.10",589704,40393,"видѧтъ",58918,"видѣти","βλέπωσιν",327067,20623,"βλέπω","present_subjunctive"
"5212","Marianus","Luke 8","LUKE 8.16",589851,40400,"видѧтъ",58918,"видѣти","βλέπωσιν",327215,20630,"βλέπω","present_subjunctive"
"5225","Marianus","Luke 10","LUKE 10.23",592527,40604,"видите",58918,"видѣти","βλέπετε",329946,20846,"βλέπω","present"
"5227","Marianus","Luke 10","LUKE 10.24",592541,40605,"видите",58918,"видѣти","βλέπετε",329960,20847,"βλέπω","present"
"5232","Marianus","Luke 11","LUKE 11.33",593620,40693,"видѧтъ",58918,"видѣти","βλέπωσιν",331069,20940,"βλέπω","present_subjunctive"
"5244","Marianus","Luke 19","LUKE 19.4",599439,41144,"видитъ",58918,"видѣти","ἴδῃ",337009,21410,"ὁράω","aorist_subjunctive"
"5251","Marianus","Luke 21","LUKE 21.6",601135,51671,"видите",58918,"видѣти","θεωρεῖτε",790462,48568,"θεωρέω","present"
"5281","Marianus","John 4","JOHN 4.19",607088,41790,"виждѫ",58918,"видѣти","θεωρῶ",345011,22084,"θεωρέω","present"
"5284","Marianus","John 4","JOHN 4.48",607652,41838,"видите",58918,"видѣти","ἴδητε",345588,22132,"ὁράω","aorist_subjunctive"
"5286","Marianus","John 5","JOHN 5.19",608158,51853,"видитъ",58918,"видѣти","βλέπῃ",346064,48644,"βλέπω","present_subjunctive"
"5294","Marianus","John 6","JOHN 6.30",609249,51869,"видимъ",58918,"видѣти","ἴδωμεν",347199,22253,"ὁράω","aorist_subjunctive"
"5309","Marianus","John 9","JOHN 9.15",612409,42264,"виждѫ",58918,"видѣти","βλέπω",350772,22589,"βλέπω","present"
"5310","Marianus","John 9","JOHN 9.19",612510,42275,"видитъ",58918,"видѣти","βλέπει",350880,22600,"βλέπω","present"
